nome,telefone,email
Maria Silva,5547999999999,maria.silva@email.com
João Santos,5547988888888,joao.santos@email.com
Ana Costa,5547977777777,ana.costa@email.com
Pedro Alves,5547966666666,pedro.alves@email.com
Carla Oliveira,5547955555555,carla.oliveira@email.com
Roberto Souza,5547944444444,roberto.souza@email.com
Juliana Lima,5547933333333,juliana.lima@email.com
Fernando Dias,5547922222222,fernando.dias@email.com
Patricia Rocha,5547911111111,patricia.rocha@email.com
Lucas Martins,5547900000000,lucas.martins@email.com
